"date_time","main_artist","featuring","song","album","Date","Week_Day","Week","Month","Year","Time"
2018-07-03 19:44:00,"Bob Marley",NA,"Redemption Song","Uprising",2018-07-03,"Tue",27,"Jul",2018,19:44
2019-01-27 12:22:00,"Lorde",NA,"Team","Pure Heroine",2019-01-27,"Sun",5,"Jan",2019,12:22
2018-02-15 18:34:00,"Tenacious D",NA,"Car Chase City","The Pick Of Destiny",2018-02-15,"Thu",7,"Feb",2018,18:34
2018-03-29 18:22:00,"Willie Colon",NA,"El Dia De Suerte","Lo Mato",2018-03-29,"Thu",13,"Mar",2018,18:22
2018-04-02 17:15:00,"Foster The People",NA,"Pumped Up Kicks","Torches",2018-04-02,"Mon",14,"Apr",2018,17:15
2019-01-17 21:21:00,"Michael Bublé",NA,"I Believe in You","Nobody But Me",2019-01-17,"Thu",3,"Jan",2019,21:21
2019-02-16 18:46:00,"Arcángel",NA,"Original","Ares",2019-02-16,"Sat",7,"Feb",2019,18:46
2018-07-03 20:27:00,"Bob Marley",NA,"Positive Vibration","Rastaman Vibration",2018-07-03,"Tue",27,"Jul",2018,20:27
2018-04-02 17:50:00,"Milky Chance",NA,"Stolen Dance","Sadnecessary",2018-04-02,"Mon",14,"Apr",2018,17:50
2018-02-27 19:24:00,"The Rolling Stones",NA,"Miss You","Some Girls",2018-02-27,"Tue",9,"Feb",2018,19:24
2018-07-02 21:02:00,"Lady Gaga",NA,"John Wayne","Joanne",2018-07-02,"Mon",27,"Jul",2018,21:02
2018-04-02 18:15:00,"Bleachers",NA,"Don't Take The Money","Gone Now",2018-04-02,"Mon",14,"Apr",2018,18:15
2018-11-26 21:29:00,"Stevie Wonder",NA,"Someday At Christmas","Best Of/20th Century - Christmas",2018-11-26,"Mon",48,"Nov",2018,21:29
2018-10-15 17:33:00,"Fun.",NA,"The Gambler","Aim And Ignite",2018-10-15,"Mon",42,"Oct",2018,17:33
2019-02-13 18:29:00,"Jennifer Lopez",NA,"Loving You","This Is Me...Then",2019-02-13,"Wed",7,"Feb",2019,18:29
2018-11-25 19:35:00,"Perry Como",NA,"Ave Maria (REMASTERED)","Greatest Christmas Songs",2018-11-25,"Sun",48,"Nov",2018,19:35
2018-02-25 19:32:00,"Pure Prairie League",NA,"Amie","Bustin Out",2018-02-25,"Sun",9,"Feb",2018,19:32
2019-01-17 20:06:00,"The Black Eyed Peas",NA,"Boom Boom Pow","THE E.N.D.",2019-01-17,"Thu",3,"Jan",2019,20:06
2018-04-07 17:37:00,"Enrique Iglesias","Sean Paul, Descemer Bueno & Gente de Zona","Bailando (English Version) [feat. Sean Paul & Descemer Bueno & Gente De Zona]","Sex And Love",2018-04-07,"Sat",14,"Apr",2018,17:37
2018-03-15 19:12:00,"Modest Mouse",NA,"Pistol (A. Cunanan, Miami, FL. 1996)","Strangers to Ourselves",2018-03-15,"Thu",11,"Mar",2018,19:12
2018-07-14 21:21:00,"Michael Bublé",NA,"Sway","Michael Bublé",2018-07-14,"Sat",28,"Jul",2018,21:21
2018-11-25 18:57:00,"Stevie Wonder",NA,"Someday At Christmas","Best Of/20th Century - Christmas",2018-11-25,"Sun",48,"Nov",2018,18:57
2018-02-24 11:31:00,"Bob Marley",NA,"Kaya","Kaya",2018-02-24,"Sat",8,"Feb",2018,11:31
2018-03-11 10:11:00,"Enrique Iglesias","Pitbull","I'm A Freak [feat. Pitbull]","Sex And Love",2018-03-11,"Sun",11,"Mar",2018,10:11
2018-12-04 19:56:00,"Frank Sinatra",NA,"The First Noel","A Jolly Christmas From Frank Sinatra",2018-12-04,"Tue",49,"Dec",2018,19:56
2018-03-09 19:17:00,"The Beatles",NA,"With A Little Help From My Friends","Sgt. Pepper's Lonely Hearts Club Band",2018-03-09,"Fri",10,"Mar",2018,19:17
2018-05-13 19:16:00,"Ray Charles",NA,"What'd I Say","The Essential Collection",2018-05-13,"Sun",20,"May",2018,19:16
2018-04-21 19:31:00,"Lady Gaga","Beyonce","Telephone [feat. Beyoncé]","The Fame Monster",2018-04-21,"Sat",16,"Apr",2018,19:31
2018-03-08 20:11:00,"Eagles",NA,"Desperado","Desperado",2018-03-08,"Thu",10,"Mar",2018,20:11
2018-04-02 20:12:00,"English Chamber Orchestra & David Blum & Wolfgang Amadeus Mozart",NA,"Divertimento in B-flat Major for Two Horns and Strings, K. 287: ii. Andante grazioso con variazioni","Big Mozart Box",2018-04-02,"Mon",14,"Apr",2018,20:12
