"date_time","artist","song","album"
"August 26, 2018 at 12:30PM","Beyonce [feat. Jay-Z]","Drunk in Love [Explicit]","Beyoncé [Explicit]"
"December 3, 2018 at 06:18PM","Nat King Cole","Deck the Hall","Stars At Christmas"
"March 14, 2018 at 05:56PM","Justin Bieber","Company","Purpose (Deluxe)"
"September 25, 2018 at 08:55PM","50 Cent","Just A Lil Bit [Explicit]","The Massacre [Explicit]"
"November 21, 2018 at 05:36PM","The Ronettes","Sleigh Ride","A Christmas Gift For You From Phil Spector"
"July 3, 2018 at 08:18PM","Bob Marley","Them Belly Full (But We Hungry)","Natty Dread (Remastered)"
"August 26, 2018 at 10:27AM","Cannonball Adderley [feat. Milt Jackson]","Things Are Getting Better [feat. Milt Jackson]","Things Are Getting Better [Original Jazz Classics Remasters]"
"August 18, 2018 at 11:20AM","TLC","Scandalous [Explicit]","TLC [Explicit]"
"July 22, 2018 at 05:21PM","Pearl Jam","Alive","Ten"
"December 16, 2018 at 04:58PM","Pyotr Ilyich Tchaikovsky","Tchaikovsky: Nutcracker Suite, Op.71a, TH.35 - 2b. Dance Of The Sugar-Plum Fairy","Tchaikovsky: Nutcracker Suite"
"April 11, 2018 at 06:19PM","Bob Marley","One Drop (Album Version)","Survival"
"December 3, 2018 at 07:51PM","Otis Redding","Merry Christmas Baby","A Classic Soul Christmas"
"October 14, 2018 at 06:31PM","Enrique Iglesias [feat. Akon]","One Day At A Time [feat. Akon]","Euphoria (Standard US/Latin Version)"
"November 8, 2018 at 05:35PM","Lady Gaga","John Wayne","Joanne [Explicit]"
"March 3, 2018 at 07:31PM","Enrique Iglesias","Turn The Night Up","Sex And Love (Deluxe)"
"February 24, 2018 at 09:49AM","Bob Marley","Jamming","Exodus"
"September 25, 2018 at 09:24PM","Jennifer Lopez [feat. Jadakiss & Styles P.]","Jenny from the Block (Track Masters Remix)","This Is Me...Then"
"March 1, 2019 at 04:36PM","Modest Mouse","Float On [Clean]","Good News For People Who Love Bad News [Explicit]"
"March 7, 2019 at 05:13PM","Cake","Mahna Mahna","For The Kids"
"March 15, 2018 at 07:11PM","Modest Mouse","Missed the Boat [Explicit]","We Were Dead Before The Ship Even Sank [Explicit]"
"February 24, 2018 at 05:42PM","Francois-Joel Thiollier & Maurice Ravel (1875-1937)","Prelude : Prelude","Ravel: Piano Favourites"
"December 17, 2018 at 07:40PM","Darlene Love","Christmas (Baby Please Come Home)","A Christmas Gift For You From Phil Spector"
"January 8, 2019 at 05:56PM","Shakira [feat. Wyclef Jean]","Hips Don't Lie (Featuring Wyclef Jean)","Oral Fixation Vol. 2"
"May 27, 2018 at 06:54PM","Enrique Iglesias [feat. Nicole Scherzinger]","Heartbeat [feat. Nicole Scherzinger]","Euphoria (Standard US/Latin Version)"
"November 12, 2018 at 12:01PM","Nick Jonas [feat. Shania Twain]","Say All You Want For Christmas [feat. Shania Twain]","Island - This Is Christmas"
"March 16, 2018 at 11:30AM","Jet","Stranded in the Moonlight","Empty Handed"
"January 19, 2019 at 07:06PM","Queen","Radio Ga Ga (Live Aid)","Bohemian Rhapsody (The Original Soundtrack)"
"November 26, 2018 at 08:59PM","Perry Como & The Fontane Sisters [feat. Mitchell Ayres & His Orchestra]","It's Beginning to Look a Lot Like Christmas","Greatest Christmas Songs"
"March 9, 2019 at 06:08PM","The Revivalists","Wish I Knew You","Men Amongst Mountains"
"March 8, 2018 at 10:41AM","Nirvana","Plateau","MTV Unplugged In New York"
